Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
regnety_004.tv2_in1k,85.312,86.562,86.641,86.172
regnety_006.pycls_in1k,86.367,87.07,87.148,86.862
regnety_008.pycls_in1k,87.031,87.422,87.969,87.474
regnety_008_tv.tv2_in1k,87.734,88.203,88.633,88.19
regnety_016.pycls_in1k,87.93,88.477,88.086,88.164
regnety_016.tv2_in1k,87.969,88.086,87.227,87.761
regnety_032.pycls_in1k,88.359,88.906,89.297,88.854
regnety_040.ra3_in1k,86.836,87.578,88.047,87.487
regnety_080.ra3_in1k,87.07,86.914,87.578,87.187
regnety_120.sw_in12k_ft_in1k,90.586,91.094,90.508,90.729
regnety_160.lion_in12k_ft_in1k,91.602,91.289,90.938,91.276
regnety_320.swag_ft_in1k,92.227,91.836,91.758,91.94
regnety_320.tv2_in1k,89.414,89.492,89.961,89.622
regnetz_d32.ra3_in1k,87.422,86.172,87.852,87.149
repghostnet_050.in1k,85.977,85.977,86.68,86.211
repghostnet_058.in1k,86.367,85.352,85.547,85.755
repvgg_a0.rvgg_in1k,87.07,86.406,86.562,86.679
repvgg_a1.rvgg_in1k,88.242,88.008,87.656,87.969
repvgg_a2.rvgg_in1k,89.062,88.828,88.906,88.932
repvgg_b0.rvgg_in1k,88.242,88.711,88.789,88.581
repvgg_b1.rvgg_in1k,89.141,88.32,89.336,88.932
repvgg_b1g4.rvgg_in1k,89.102,89.219,88.906,89.076
repvgg_b2.rvgg_in1k,89.141,89.57,89.453,89.388
repvgg_b2g4.rvgg_in1k,88.789,90.117,89.492,89.466
repvgg_b3g4.rvgg_in1k,89.18,89.062,89.727,89.323
repvgg_d2se.rvgg_in1k,91.328,91.211,90.977,91.172
repvit_m1_0.dist_450e_in1k,72.578,72.734,76.641,73.984
repvit_m1_1.dist_450e_in1k,86.445,85.625,84.336,85.469
repvit_m2_3.dist_450e_in1k,75.195,75.703,75.664,75.521
res2net50_14w_8s.in1k,89.805,89.18,90.352,89.779
res2net50_26w_4s.in1k,89.453,89.688,89.297,89.479
res2net50_26w_6s.in1k,89.141,89.609,88.828,89.193
res2net50_26w_8s.in1k,89.57,89.414,89.648,89.544
res2net50_48w_2s.in1k,89.766,89.453,89.336,89.518
res2net50d.in1k,88.086,87.578,88.711,88.125
resmlp_12_224.fb_distilled_in1k,90.898,90.859,90.781,90.846
resmlp_12_224.fb_in1k,90.078,90.938,90.859,90.625
resmlp_24_224.fb_in1k,91.68,91.211,91.445,91.445
resmlp_36_224.fb_in1k,90.391,91.289,91.719,91.133
resnest101e.in1k,90.352,90.586,91.211,90.716
resnest50d.in1k,89.258,89.883,89.453,89.531
resnest50d_1s4x24d.in1k,89.805,89.609,90.078,89.831
resnest50d_4s2x40d.in1k,88.828,89.023,89.336,89.062
resnet101.a1_in1k,86.445,86.68,87.266,86.797
resnet101.a2_in1k,87.109,86.367,86.25,86.575
resnet101.a3_in1k,86.172,85.977,86.094,86.081
resnet10t.c3_in1k,87.188,86.68,86.719,86.862
resnet14t.c3_in1k,89.023,88.711,88.047,88.594
resnet152.a1_in1k,86.25,87.031,86.758,86.68
resnet152.a3_in1k,86.016,86.211,85.508,85.912
resnet18.a1_in1k,86.992,87.812,86.992,87.265
resnet18.a3_in1k,84.414,86.133,83.945,84.831
resnet18.fb_ssl_yfcc100m_ft_in1k,89.219,89.141,88.984,89.115
resnet18.fb_swsl_ig1b_ft_in1k,88.477,88.242,88.594,88.438
resnet18.gluon_in1k,86.523,87.539,87.109,87.057
resnet18.tv_in1k,88.594,88.633,87.695,88.307
resnet200d.ra2_in1k,88.867,88.789,87.734,88.463
resnet34.a1_in1k,85.742,86.406,86.602,86.25
resnet34.a3_in1k,83.477,85.234,84.219,84.31
resnet34.gluon_in1k,87.539,87.148,87.227,87.305
resnet34d.ra2_in1k,82.305,82.93,82.109,82.448
resnet50.a1_in1k,87.07,87.266,87.305,87.214
resnet50.a1h_in1k,84.531,83.164,84.688,84.128
resnet50.a3_in1k,86.328,86.602,85.312,86.081
resnet50.am_in1k,89.688,89.648,89.297,89.544
resnet50.ram_in1k,89.531,89.336,89.258,89.375
resnet50.tv_in1k,89.492,89.492,89.453,89.479
resnet50d.a3_in1k,83.984,85.469,84.805,84.753
resnet50d.ra2_in1k,87.852,86.602,86.953,87.136
resnetrs50.tf_in1k,87.617,88.125,88.047,87.93
resnext101_32x8d.tv2_in1k,88.086,88.164,88.164,88.138
resnext50_32x4d.a1_in1k,87.031,87.422,88.086,87.513
resnext50_32x4d.tv_in1k,89.609,89.609,89.219,89.479
rexnet_100.nav_in1k,75.859,74.18,74.688,74.909
rexnet_130.nav_in1k,75.703,78.555,77.344,77.201
rexnet_150.nav_in1k,79.18,77.305,79.102,78.529
rexnet_200.nav_in1k,79.844,79.844,80.117,79.935
rexnet_300.nav_in1k,84.688,84.375,83.633,84.232
selecsls60.in1k,88.086,87.695,87.031,87.604
semnasnet_075.rmsp_in1k,77.539,75.508,73.711,75.586
seresnet50.a3_in1k,85.273,84.883,85.469,85.208
seresnextaa101d_32x8d.sw_in12k_ft_in1k,89.922,90.117,90.859,90.299
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,90.82,91.602,92.305,91.576
shvit_s3.in1k,81.797,85.391,83.438,83.542
shvit_s4.in1k,78.047,80.742,82.852,80.547
skresnet18.ra_in1k,87.422,88.398,88.477,88.099
skresnet34.ra_in1k,87.344,87.5,88.438,87.761
spnasnet_100.rmsp_in1k,77.578,75.391,73.359,75.443
swin_base_patch4_window7_224.ms_in1k,92.305,91.836,92.266,92.136
swin_base_patch4_window7_224.ms_in22k_ft_in1k,92.539,92.734,92.695,92.656
swin_large_patch4_window12_384.ms_in22k_ft_in1k,92.852,93.398,92.969,93.073
swin_s3_base_224.ms_in1k,93.398,93.164,92.812,93.125
swin_s3_small_224.ms_in1k,91.758,91.211,92.07,91.68
swin_s3_tiny_224.ms_in1k,92.812,92.539,92.07,92.474
swin_small_patch4_window7_224.ms_in1k,92.812,92.383,91.68,92.292
swin_small_patch4_window7_224.ms_in22k_ft_in1k,92.188,92.5,92.539,92.409
swin_tiny_patch4_window7_224.ms_in1k,92.422,92.773,92.812,92.669
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,92.773,93.125,92.969,92.956
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,93.125,93.086,93.633,93.281
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,93.516,93.906,93.867,93.763
swinv2_cr_small_224.sw_in1k,93.438,91.602,91.875,92.305
swinv2_cr_small_ns_224.sw_in1k,92.188,92.617,92.344,92.383
swinv2_cr_tiny_ns_224.sw_in1k,92.266,92.656,92.617,92.513
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,92.969,93.242,93.672,93.294
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,93.203,93.125,93.477,93.268
swinv2_small_window16_256.ms_in1k,92.109,92.422,92.305,92.279
swinv2_tiny_window16_256.ms_in1k,92.656,92.5,92.383,92.513
tf_efficientnet_b0.aa_in1k,79.609,79.102,79.336,79.349
tf_efficientnet_b0.in1k,76.484,76.875,77.109,76.823
tf_efficientnet_b1.aa_in1k,78.906,79.883,78.984,79.258
tf_efficientnet_b3.aa_in1k,80.312,78.828,80.898,80.013
tf_efficientnet_b4.aa_in1k,82.422,81.055,81.562,81.68
tf_efficientnet_b5.ra_in1k,82.539,82.656,83.828,83.008
tf_efficientnet_b6.aa_in1k,84.883,84.141,85.312,84.779
tf_efficientnet_b7.ap_in1k,89.453,88.867,88.555,88.958
tf_efficientnet_b7.ra_in1k,87.812,87.734,86.523,87.356
tf_efficientnetv2_b3.in21k_ft_in1k,77.344,79.062,79.102,78.503
tf_efficientnetv2_l.in21k_ft_in1k,87.578,86.094,89.258,87.643
tf_mobilenetv3_large_075.in1k,76.836,76.914,77.422,77.057
tf_mobilenetv3_large_minimal_100.in1k,75.391,77.852,78.047,77.097
tf_mobilenetv3_small_075.in1k,74.844,75.742,73.789,74.792
tf_mobilenetv3_small_100.in1k,73.516,75.469,74.648,74.544
tf_mobilenetv3_small_minimal_100.in1k,72.852,72.812,73.711,73.125
tiny_vit_21m_224.in1k,91.445,91.914,91.68,91.68
tiny_vit_5m_224.in1k,91.289,90.547,91.289,91.042
tinynet_c.in1k,76.211,75.586,74.609,75.469
tresnet_l.miil_in1k,88.828,89.102,89.727,89.219
tresnet_m.miil_in1k,89.648,88.906,89.531,89.362
tresnet_m.miil_in21k_ft_in1k,88.672,89.023,89.531,89.075
tresnet_v2_l.miil_in21k_ft_in1k,88.672,89.336,88.555,88.854
tresnet_xl.miil_in1k,89.922,90.0,90.039,89.987
twins_pcpvt_base.in1k,92.461,91.641,90.547,91.55
twins_pcpvt_large.in1k,91.953,91.523,91.328,91.601
twins_pcpvt_small.in1k,91.914,90.859,92.383,91.719
twins_svt_base.in1k,91.992,92.07,92.734,92.265
twins_svt_large.in1k,93.242,91.875,92.461,92.526
twins_svt_small.in1k,91.094,90.781,92.109,91.328
vgg11.tv_in1k,90.078,90.938,90.273,90.43
vgg11_bn.tv_in1k,90.156,88.789,88.672,89.206
vgg13.tv_in1k,90.352,89.805,89.297,89.818
vgg13_bn.tv_in1k,89.297,88.945,89.258,89.167
vgg16.tv_in1k,90.469,90.234,91.68,90.794
vgg16_bn.tv_in1k,89.258,89.375,89.492,89.375
vgg19.tv_in1k,91.797,90.938,91.055,91.263
vgg19_bn.tv_in1k,89.727,88.555,88.008,88.763
visformer_small.in1k,92.773,93.125,91.758,92.552
visformer_tiny.in1k,91.719,91.367,91.367,91.484
vit_base_mci_224.apple_mclip2_dfndr2b,91.68,93.633,93.906,93.073
vit_base_patch14_dinov2.lvd142m,90.938,90.0,89.844,90.261
vit_base_patch14_reg4_dinov2.lvd142m,92.812,93.359,93.516,93.229
vit_base_patch16_224.augreg2_in21k_ft_in1k,91.875,93.125,92.461,92.487
vit_base_patch16_224.augreg_in1k,92.422,93.203,92.266,92.63
vit_base_patch16_224.augreg_in21k_ft_in1k,90.82,91.953,91.562,91.445
vit_base_patch16_224.dino,90.625,91.094,91.016,90.912
vit_base_patch16_224.mae,92.148,93.203,92.383,92.578
vit_base_patch16_224.orig_in21k_ft_in1k,91.68,92.227,91.758,91.888
