Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
swin_s3_small_224.ms_in1k,78.555,77.93,79.297,78.594
swin_s3_tiny_224.ms_in1k,79.492,79.102,79.766,79.453
swin_small_patch4_window7_224.ms_in1k,78.672,78.633,78.906,78.737
swin_small_patch4_window7_224.ms_in22k_ft_in1k,78.516,79.609,78.828,78.984
swin_tiny_patch4_window7_224.ms_in1k,80.664,80.625,80.312,80.534
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,79.102,79.648,78.906,79.219
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,82.07,82.109,81.602,81.927
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,82.383,81.445,82.188,82.005
swinv2_cr_small_224.sw_in1k,78.047,78.086,78.203,78.112
swinv2_cr_small_ns_224.sw_in1k,76.914,76.875,77.148,76.979
swinv2_cr_tiny_ns_224.sw_in1k,80.547,79.883,80.781,80.404
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,83.047,83.32,82.852,83.073
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,83.281,83.281,83.398,83.32
swinv2_small_window16_256.ms_in1k,79.297,78.906,78.945,79.049
swinv2_tiny_window16_256.ms_in1k,80.273,80.312,81.133,80.573
tf_efficientnet_b0.aa_in1k,78.75,78.789,79.336,78.958
tf_efficientnet_b0.in1k,78.555,78.906,78.281,78.581
tf_efficientnet_b1.aa_in1k,78.711,79.062,78.516,78.763
tf_efficientnet_b3.aa_in1k,78.242,78.203,78.75,78.398
tf_efficientnet_b4.aa_in1k,79.766,79.766,79.453,79.662
tf_efficientnet_b5.ra_in1k,81.641,81.602,81.641,81.628
tf_efficientnet_b6.aa_in1k,81.172,81.172,81.172,81.172
tf_efficientnet_b7.ap_in1k,85.586,85.469,85.508,85.521
tf_efficientnet_b7.ra_in1k,83.281,83.008,82.5,82.93
tf_efficientnetv2_b3.in21k_ft_in1k,78.008,77.695,78.086,77.93
tf_efficientnetv2_l.in21k_ft_in1k,79.297,78.516,78.828,78.88
tf_mobilenetv3_large_075.in1k,80.859,80.312,79.961,80.377
tf_mobilenetv3_large_minimal_100.in1k,79.531,79.531,79.805,79.622
tf_mobilenetv3_small_075.in1k,77.305,77.07,77.188,77.188
tf_mobilenetv3_small_100.in1k,78.281,78.242,77.891,78.138
tf_mobilenetv3_small_minimal_100.in1k,78.203,78.242,78.164,78.203
tiny_vit_21m_224.in1k,79.492,79.023,78.594,79.036
tiny_vit_5m_224.in1k,74.531,74.688,74.336,74.518
tinynet_c.in1k,78.672,78.945,77.734,78.45
tresnet_l.miil_in1k,79.141,79.023,79.609,79.258
tresnet_m.miil_in1k,80.82,81.289,80.977,81.029
tresnet_m.miil_in21k_ft_in1k,81.055,80.938,81.445,81.146
tresnet_v2_l.miil_in21k_ft_in1k,81.172,81.328,81.406,81.302
tresnet_xl.miil_in1k,80.938,80.625,80.469,80.677
twins_pcpvt_base.in1k,75.469,75.938,74.766,75.391
twins_pcpvt_large.in1k,76.914,77.383,76.602,76.966
twins_pcpvt_small.in1k,76.289,75.625,76.992,76.302
twins_svt_base.in1k,78.711,79.336,78.711,78.919
twins_svt_large.in1k,80.742,80.273,80.117,80.377
twins_svt_small.in1k,76.055,75.508,76.172,75.912
vgg11.tv_in1k,74.648,74.414,74.453,74.505
vgg11_bn.tv_in1k,77.383,77.852,78.242,77.826
vgg13.tv_in1k,74.023,74.297,73.555,73.958
vgg13_bn.tv_in1k,77.266,77.148,77.617,77.344
vgg16.tv_in1k,73.789,74.688,74.336,74.271
vgg16_bn.tv_in1k,76.406,76.289,76.602,76.432
vgg19.tv_in1k,73.203,72.578,72.578,72.786
vgg19_bn.tv_in1k,76.133,75.977,76.289,76.133
visformer_small.in1k,81.25,80.781,80.82,80.95
