model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
mobilenetv2_140.ra_in1k,76.528,56.953,53.828,-3.125,224,6.11
mobilenetv3_large_100.miil_in21k_ft_in1k,77.92,56.302,54.049,-2.253,224,5.48
mobilenetv3_large_100.ra_in1k,75.784,55.873,53.125,-2.7479999999999976,224,5.48
mobilenetv3_rw.rmsp_in1k,75.616,54.974,54.284,-0.6899999999999977,224,5.48
mobilenetv3_small_100.lamb_in1k,67.636,54.922,54.245,-0.6769999999999996,224,2.54
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,82.776,56.667,55.833,-0.8340000000000032,384,9.72
mobilenetv4_conv_small_050.e3000_r224_in1k,64.778,55.339,54.063,-1.2759999999999962,224,2.24
mobileone_s2.apple_in1k,77.504,54.232,58.346,4.113999999999997,224,7.88
mobileone_s4.apple_in1k,79.446,55.742,56.12,0.3780000000000001,224,14.95
mobilevit_xs.cvnets_in1k,74.618,55.26,56.185,0.9250000000000043,256,2.32
mobilevit_xxs.cvnets_in1k,68.936,54.974,54.297,-0.6769999999999996,256,1.27
mobilevitv2_050.cvnets_in1k,70.156,52.982,53.125,0.14300000000000068,256,1.37
mobilevitv2_200.cvnets_in1k,81.148,53.464,55.937,2.472999999999999,256,18.45
mvitv2_base.fb_in1k,84.424,54.492,58.385,3.8930000000000007,224,51.47
mvitv2_large.fb_in1k,85.264,55.938,59.388,3.4499999999999957,224,217.99
mvitv2_small.fb_in1k,83.772,55.325,58.164,2.8389999999999986,224,34.87
mvitv2_tiny.fb_in1k,82.408,55.247,57.461,2.2139999999999986,224,24.17
pit_b_224.in1k,82.458,53.906,54.362,0.45600000000000307,224,73.76
pit_b_distilled_224.in1k,83.774,54.245,55.391,1.1460000000000008,224,74.79
pit_s_224.in1k,81.114,54.987,55.573,0.5859999999999985,224,23.46
pit_s_distilled_224.in1k,81.826,53.164,55.885,2.7209999999999965,224,24.04
pit_ti_224.in1k,72.926,55.143,55.091,-0.0519999999999996,224,4.85
pit_ti_distilled_224.in1k,74.276,54.05,53.711,-0.33899999999999864,224,5.10
pit_xs_224.in1k,78.196,52.969,55.312,2.3429999999999964,224,10.62
pit_xs_distilled_224.in1k,79.172,54.141,56.133,1.9920000000000044,224,11.00
poolformer_m36.sail_in1k,82.104,55.221,57.162,1.9410000000000025,224,56.17
poolformer_m48.sail_in1k,82.462,55.234,56.068,0.8339999999999961,224,73.47
poolformer_s12.sail_in1k,77.238,53.554,54.622,1.0679999999999978,224,11.92
poolformer_s24.sail_in1k,80.294,54.675,56.029,1.3540000000000063,224,21.39
poolformer_s36.sail_in1k,81.428,53.242,55.664,2.422000000000004,224,30.86
poolformerv2_m36.sail_in1k,82.214,55.898,60.091,4.192999999999998,224,56.08
poolformerv2_s12.sail_in1k,78.008,54.753,55.82,1.0670000000000002,224,11.89
poolformerv2_s24.sail_in1k,80.746,54.271,57.656,3.384999999999998,224,21.34
poolformerv2_s36.sail_in1k,81.576,54.115,59.505,5.390000000000001,224,30.79
pvt_v2_b0.in1k,70.654,54.883,56.133,1.25,224,3.67
pvt_v2_b1.in1k,78.698,55.234,57.279,2.0450000000000017,224,14.01
pvt_v2_b2.in1k,82.062,55.937,58.372,2.4350000000000023,224,25.36
pvt_v2_b2_li.in1k,82.2,54.062,56.849,2.786999999999999,224,22.55
pvt_v2_b3.in1k,83.12,54.87,58.086,3.216000000000001,224,45.24
pvt_v2_b4.in1k,83.71,54.167,57.252,3.085000000000001,224,62.56
pvt_v2_b5.in1k,83.76,53.659,57.747,4.088000000000001,224,81.96
regnetx_002.pycls_in1k,68.758,54.87,55.938,1.068000000000005,224,2.68
regnetx_004.pycls_in1k,72.482,53.19,57.044,3.853999999999999,224,5.16
regnetx_004_tv.tv2_in1k,74.596,52.695,54.883,2.1880000000000024,224,5.50
