model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
eca_nfnet_l0.ra2_in1k,eca,unknown,54.492,56.185,1.693000000000005,0.553261842771276,1.017073252032517,1.328000000000003,2.2650000000000006
eca_nfnet_l1.ra2_in1k,eca,unknown,53.672,57.461,3.7890000000000015,0.6151039659186793,1.1458406908854677,1.4059999999999988,2.6169999999999973
ecaresnet50t.a2_in1k,ecaresnet50t.a2,unknown,53.307,53.555,0.24799999999999756,0.25775742256798134,0.38645080181340236,0.625,0.9369999999999976
edgenext_xx_small.in1k,edgenext,unknown,52.344,54.739,2.394999999999996,0.16896219169453797,1.9643744268567735,0.39099999999999824,4.648999999999994
efficientformer_l1.snap_dist_in1k,efficientformer,unknown,52.526,54.766,2.239999999999995,1.1968960782884301,1.1811046618408623,2.5390000000000015,2.8129999999999953
efficientformer_l3.snap_dist_in1k,efficientformer,unknown,55.937,54.961,-0.9759999999999991,0.5425620292238968,0.6588009309849748,1.3289999999999935,1.5620000000000047
efficientformer_l7.snap_dist_in1k,efficientformer,unknown,55.195,56.536,1.341000000000001,0.7734064620596051,0.7134934399760731,1.875,1.6020000000000039
efficientformerv2_l.snap_dist_in1k,efficientformerv2,unknown,52.995,54.414,1.419000000000004,0.7709934428313182,0.4633666654677132,1.875,1.1330000000000027
efficientformerv2_s0.snap_dist_in1k,efficientformerv2,unknown,55.651,54.388,-1.2630000000000052,0.7518940528203869,0.8920526890268308,1.8350000000000009,2.0700000000000003
efficientformerv2_s1.snap_dist_in1k,efficientformerv2,unknown,51.706,54.284,2.577999999999996,1.2353084185291097,1.4284917453967545,2.6950000000000003,3.3200000000000003
efficientformerv2_s2.snap_dist_in1k,efficientformerv2,unknown,51.211,55.026,3.815000000000005,0.7742299400049065,0.3960642484356412,1.6799999999999997,0.8590000000000018
efficientnet_b0.ra_in1k,efficientnet,unknown,54.87,54.557,-0.3129999999999953,0.5310825422348839,1.3815066654441701,1.25,3.2420000000000044
efficientnet_b1.ft_in1k,efficientnet,unknown,55.208,53.06,-2.147999999999996,0.38037028742470674,0.7174660657867765,0.8589999999999947,1.6400000000000006
efficientnet_b1.ra4_e3600_r240_in1k,efficientnet,240,53.972,53.594,-0.3780000000000001,0.3225981332177176,1.0541553754336008,0.703000000000003,2.344000000000001
efficientnet_b2.ra_in1k,efficientnet,unknown,56.823,51.641,-5.182000000000002,0.3803702874247088,0.9581281519481402,0.8590000000000018,2.3430000000000035
efficientnet_b3.ra2_in1k,efficientnet,unknown,55.898,54.089,-1.8090000000000046,0.7039613310087083,0.35263232346957923,1.718999999999994,0.8589999999999947
efficientnet_b4.ra2_in1k,efficientnet,unknown,54.909,51.836,-3.0730000000000004,0.26752486904128336,0.41478026311128413,0.5859999999999985,1.0159999999999982
efficientnet_es.ra_in1k,efficientnet,unknown,54.687,53.151,-1.5359999999999943,0.3865517070486461,1.1233415429967044,0.8200000000000003,2.5389999999999944
efficientnet_es_pruned.in1k,efficientnet,unknown,54.388,53.581,-0.806999999999995,1.055030173344189,0.6335873174937209,2.578000000000003,1.524000000000001
efficientnet_lite0.ra_in1k,efficientnet,unknown,53.698,54.688,0.990000000000002,0.8479272767558962,0.8199289942156923,2.071000000000005,1.9140000000000015
efficientvit_b2.r256_in1k,efficientvit,256,54.037,56.979,2.942,0.34392279495388034,0.42124893669499774,0.7809999999999988,1.0159999999999982
efficientvit_b2.r288_in1k,efficientvit,288,53.398,56.471,3.0729999999999933,0.33591698709982254,0.28760196259568177,0.8200000000000003,0.7029999999999959
efficientvit_b3.r256_in1k,efficientvit,256,54.258,55.859,1.600999999999999,0.20918466058060153,0.40699658748228107,0.5079999999999956,0.9759999999999991
efficientvit_m1.r224_in1k,efficientvit,224,53.594,53.372,-0.2220000000000013,0.7245643902066637,1.2806847994551829,1.6409999999999982,3.0860000000000056
eva02_base_patch14_448.mim_in22k_ft_in1k,eva02,448,57.175,60.26,3.085000000000001,0.7287085989764531,1.8050079101088605,1.6010000000000062,3.8290000000000006
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,eva02,448,59.297,67.279,7.981999999999999,0.669643852274394,2.5038047492211133,1.5230000000000032,6.131999999999991
eva02_large_patch14_448.mim_in22k_ft_in1k,eva02,448,58.411,55.586,-2.825000000000003,0.1638583399023565,3.787162878285891,0.39100000000000534,8.204
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,eva02,448,58.425,65.612,7.186999999999998,0.3030669159699829,10.359979536659324,0.7420000000000044,22.733999999999995
eva02_large_patch14_448.mim_m38m_ft_in1k,eva02,448,58.555,60.443,1.8879999999999981,0.48163540844363356,5.6185698259333625,1.171999999999997,12.108999999999995
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,eva02,448,59.271,66.484,7.212999999999994,0.5358588122506407,7.395523285519872,1.2890000000000015,17.538999999999994
eva02_small_patch14_336.mim_in22k_ft_in1k,eva02,336,56.836,63.672,6.8359999999999985,0.566840953589863,1.2806579038395345,1.3279999999999959,2.8910000000000053
eva_large_patch14_196.in22k_ft_in1k,eva,196,56.706,62.643,5.936999999999998,0.5672920078956013,4.431206231565697,1.2890000000000015,9.883000000000003
eva_large_patch14_196.in22k_ft_in22k_in1k,eva,196,57.409,62.031,4.622,0.10236210236215411,2.466937958054252,0.23400000000000176,5.780999999999999
eva_large_patch14_336.in22k_ft_in1k,eva,336,57.292,69.076,11.783999999999992,0.257824660487618,6.304071188966349,0.625,15.390000000000008
eva_large_patch14_336.in22k_ft_in22k_in1k,eva,336,58.802,64.375,5.573,0.768516753233136,5.674535223258374,1.7190000000000012,13.514999999999993
fasternet_t2.in1k,fasternet,unknown,55.364,59.141,3.777000000000001,0.3776950563027753,0.7831944557742705,0.8200000000000003,1.875
fastvit_sa36.apple_dist_in1k,fastvit,unknown,54.609,54.505,-0.1039999999999992,0.596128807855781,0.2962120111601764,1.445999999999998,0.703000000000003
fastvit_t8.apple_dist_in1k,fastvit,unknown,53.685,55.703,2.0180000000000007,0.23940110461083644,0.4633666654677132,0.5859999999999985,1.1330000000000027
focalnet_base_lrf.ms_in1k,focalnet,unknown,53.151,57.917,4.765999999999998,0.9576401551035034,1.5681031712089488,2.343999999999994,3.672000000000004
focalnet_base_srf.ms_in1k,focalnet,unknown,54.479,57.656,3.1769999999999996,0.26731421378013254,2.3001075820250003,0.5860000000000056,5.469000000000001
focalnet_small_lrf.ms_in1k,focalnet,unknown,54.088,58.737,4.649000000000001,1.7389349869644042,1.0307519369642522,4.258000000000003,2.3830000000000027
focalnet_small_srf.ms_in1k,focalnet,unknown,52.969,59.128,6.158999999999999,1.002604053896096,1.5645259843018138,2.421999999999997,3.828000000000003
focalnet_tiny_lrf.ms_in1k,focalnet,unknown,55.117,57.37,2.253,0.4759876282239073,1.2973390715871738,1.0929999999999964,3.047000000000004
focalnet_tiny_srf.ms_in1k,focalnet,unknown,55.182,57.839,2.6569999999999965,0.5397347084962693,0.9915433536775987,1.2889999999999944,2.421999999999997
ghostnet_100.in1k,ghostnet,unknown,56.823,54.752,-2.070999999999998,0.6705361039248126,0.39861621754375204,1.6400000000000006,0.8979999999999961
ghostnetv2_100.in1k,ghostnetv2,unknown,53.268,56.641,3.3729999999999976,0.30963024543621404,0.292205787455042,0.7420000000000044,0.7029999999999959
ghostnetv2_130.in1k,ghostnetv2,unknown,54.206,56.12,1.9139999999999944,1.0057498032148282,0.5152451412245993,2.4609999999999985,1.0930000000000035
