Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
resnest101e.in1k,52.695,53.711,53.008,53.138
resnest50d.in1k,50.703,49.844,52.07,50.872
resnest50d_1s4x24d.in1k,51.484,49.648,49.531,50.221
resnest50d_4s2x40d.in1k,52.031,52.305,51.914,52.083
resnet101.a1_in1k,53.047,51.953,53.281,52.76
resnet101.a2_in1k,55.156,55.508,55.039,55.234
resnet101.a3_in1k,58.203,57.227,56.953,57.461
resnet10t.c3_in1k,50.117,53.594,51.367,51.693
resnet14t.c3_in1k,55.078,54.375,55.391,54.948
resnet152.a1_in1k,54.57,55.469,54.805,54.948
resnet152.a3_in1k,55.469,54.883,55.547,55.3
resnet18.a1_in1k,55.234,54.961,55.859,55.351
resnet18.a3_in1k,52.578,55.898,55.039,54.505
resnet18.fb_ssl_yfcc100m_ft_in1k,55.859,53.203,52.93,53.997
resnet18.fb_swsl_ig1b_ft_in1k,55.508,54.609,54.57,54.896
resnet18.gluon_in1k,49.492,50.273,49.414,49.726
resnet18.tv_in1k,52.148,52.148,51.68,51.992
resnet200d.ra2_in1k,58.633,57.969,59.102,58.568
resnet34.a1_in1k,54.922,52.773,53.633,53.776
resnet34.a3_in1k,57.383,55.625,57.773,56.927
resnet34.gluon_in1k,52.539,53.516,53.438,53.164
resnet34d.ra2_in1k,54.648,54.609,53.867,54.375
resnet50.a1_in1k,54.297,54.297,54.922,54.505
resnet50.a1h_in1k,55.0,55.703,56.172,55.625
resnet50.a3_in1k,54.414,55.0,55.0,54.805
resnet50.am_in1k,51.133,51.68,50.664,51.159
resnet50.ram_in1k,54.492,53.945,54.531,54.323
resnet50.tv_in1k,53.32,54.258,53.828,53.802
resnet50d.a3_in1k,60.273,59.062,60.547,59.961
resnet50d.ra2_in1k,54.336,54.492,56.133,54.987
resnetrs50.tf_in1k,51.562,54.609,51.211,52.461
resnext101_32x8d.tv2_in1k,50.781,51.68,51.172,51.211
resnext50_32x4d.a1_in1k,54.219,54.141,55.312,54.557
resnext50_32x4d.tv_in1k,51.211,51.523,51.68,51.471
rexnet_100.nav_in1k,48.906,51.055,49.805,49.922
rexnet_130.nav_in1k,53.672,52.773,53.164,53.203
rexnet_150.nav_in1k,51.289,50.977,50.039,50.768
rexnet_200.nav_in1k,50.781,50.156,50.195,50.377
rexnet_300.nav_in1k,52.305,52.812,53.477,52.865
selecsls60.in1k,55.195,55.117,53.203,54.505
semnasnet_075.rmsp_in1k,51.328,50.469,52.305,51.367
seresnet50.a3_in1k,57.422,59.062,57.383,57.956
seresnextaa101d_32x8d.sw_in12k_ft_in1k,52.148,52.852,53.008,52.669
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,49.922,51.484,49.688,50.365
shvit_s3.in1k,50.898,50.781,51.133,50.937
shvit_s4.in1k,51.016,49.609,51.055,50.56
skresnet18.ra_in1k,52.461,52.539,52.383,52.461
skresnet34.ra_in1k,52.656,52.305,51.172,52.044
spnasnet_100.rmsp_in1k,49.883,52.227,52.969,51.693
swin_base_patch4_window7_224.ms_in1k,50.82,49.609,50.234,50.221
swin_base_patch4_window7_224.ms_in22k_ft_in1k,51.523,50.234,51.523,51.093
swin_large_patch4_window12_384.ms_in22k_ft_in1k,50.469,50.469,51.25,50.729
swin_s3_base_224.ms_in1k,50.352,52.539,52.5,51.797
swin_s3_small_224.ms_in1k,51.641,53.555,51.133,52.11
swin_s3_tiny_224.ms_in1k,50.586,51.016,51.758,51.12
swin_small_patch4_window7_224.ms_in1k,51.719,51.055,51.797,51.524
swin_small_patch4_window7_224.ms_in22k_ft_in1k,52.383,51.289,50.977,51.55
swin_tiny_patch4_window7_224.ms_in1k,52.031,53.164,51.484,52.226
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,51.797,52.266,52.07,52.044
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,51.094,50.156,51.641,50.964
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,52.734,49.531,50.352,50.872
swinv2_cr_small_224.sw_in1k,52.031,50.781,50.586,51.133
swinv2_cr_small_ns_224.sw_in1k,51.484,52.148,54.805,52.812
swinv2_cr_tiny_ns_224.sw_in1k,50.898,52.578,53.32,52.265
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,51.172,52.461,51.289,51.641
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,51.016,51.289,51.289,51.198
swinv2_small_window16_256.ms_in1k,50.859,48.086,48.164,49.036
swinv2_tiny_window16_256.ms_in1k,53.008,52.266,51.523,52.266
tf_efficientnet_b0.aa_in1k,52.383,49.141,49.609,50.378
tf_efficientnet_b0.in1k,48.516,48.164,48.242,48.307
tf_efficientnet_b1.aa_in1k,48.359,50.156,49.18,49.232
tf_efficientnet_b3.aa_in1k,50.078,51.992,51.719,51.263
tf_efficientnet_b4.aa_in1k,51.016,51.562,51.797,51.458
tf_efficientnet_b5.ra_in1k,50.156,49.297,50.391,49.948
tf_efficientnet_b6.aa_in1k,51.68,51.758,50.586,51.341
tf_efficientnet_b7.ap_in1k,50.859,51.836,50.664,51.12
